activation,model_type,corruption_mode,p,sigma,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
sigmoid,mlp,replacement,0.2,0.0,100,0.96257,0.002224117802635469,0.00022241178026354688,0.12193475458783284,0.0064948753514749834,0.0006494875351474984
sigmoid,mlp,replacement,0.3,0.0,100,0.951975,0.0035359121878236754,0.00035359121878236754,0.1565660764932446,0.010533105739289814,0.0010533105739289814
sigmoid,mlp,replacement,0.4,0.0,100,0.938632,0.0038711466001690007,0.00038711466001690005,0.20134058162768184,0.011092558786310257,0.0011092558786310258
sigmoid,mlp,replacement,0.5,0.0,100,0.923045,0.004849523172436646,0.00048495231724366463,0.25487255520677565,0.013519465652696646,0.0013519465652696645
sigmoid,mlp,replacement,0.6,0.0,100,0.899414,0.006424640379040681,0.0006424640379040682,0.3340825242677331,0.01784725569406139,0.001784725569406139
sigmoid,mlp,replacement,0.7,0.0,100,0.867379,0.007940797126233613,0.0007940797126233613,0.43762987979233264,0.021418726332057467,0.002141872633205747
sigmoid,mlp,replacement,0.8,0.0,100,0.833773,0.007571721798904132,0.0007571721798904132,0.5343227151708603,0.02044921285217512,0.002044921285217512
sigmoid,mlp,replacement,0.9,0.0,100,0.796028,0.007006854929281754,0.0007006854929281754,0.6240332169313431,0.013634958788831121,0.001363495878883112
sigmoid,mlp,replacement,1.0,0.0,100,0.074229,0.03141409331812713,0.003141409331812713,2.305474954879761,0.008638248560924999,0.0008638248560924999
tanh,mlp,replacement,0.0,0.0,100,0.977752,0.0009670036194348009,9.670036194348009e-05,0.07639030275366747,0.0032019121625766465,0.00032019121625766466
tanh,mlp,replacement,0.1,0.0,100,0.9759099999999999,0.0011883181392202988,0.00011883181392202987,0.07714591057451442,0.003431534896768429,0.0003431534896768429
tanh,mlp,replacement,0.2,0.0,100,0.966669,0.001531906981510301,0.00015319069815103009,0.1080815117994193,0.004465213967603713,0.0004465213967603713
tanh,mlp,replacement,0.3,0.0,100,0.953013,0.0029178983875385407,0.00029178983875385406,0.15577471624404005,0.009070772122502525,0.0009070772122502525
tanh,mlp,replacement,0.4,0.0,100,0.9336450000000001,0.004632135036891732,0.0004632135036891732,0.22331449744295329,0.014831127474191155,0.0014831127474191155
tanh,mlp,replacement,0.5,0.0,100,0.905226,0.005380197394148284,0.0005380197394148285,0.3219242183856368,0.01660201057564003,0.0016602010575640029
tanh,mlp,replacement,0.6,0.0,100,0.863692,0.0065604981518174385,0.0006560498151817439,0.46690393541550634,0.02168501179103565,0.002168501179103565
tanh,mlp,replacement,0.7,0.0,100,0.817897,0.00923955036784799,0.0009239550367847991,0.6328831675755978,0.03406280786942682,0.0034062807869426823
tanh,mlp,replacement,0.8,0.0,100,0.784912,0.007406973470993401,0.0007406973470993402,0.7180856946487427,0.025865367871204296,0.0025865367871204296
