activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
relu,mlp,replacement,0.96,0.0,128,20,0.14897,0.05683574667407827,0.01270885931151966,2.2202218596172334,0.13025986025153768,0.02912699022620611
relu,mlp,replacement,0.97,0.0,128,20,0.12319000000000001,0.029084461487192775,0.006503483297433767,2.28069335975647,0.056355558670384207,0.012601486009695675
relu,mlp,replacement,0.98,0.0,128,20,0.11350500000000001,2.1794494717703992e-05,4.873397172404621e-06,2.3005172692489624,0.0006395231272943695,0.00014300171858134614
relu,mlp,replacement,0.99,0.0,128,20,0.1135,0.0,0.0,2.300819443912506,0.00036632367558015177,8.191246403647991e-05
relu,mlp,replacement,1.0,0.0,128,20,0.1135,0.0,0.0,2.301140652561188,0.00025275778681004745,5.651835931496658e-05
relu,mlp,replacement,0.8,0.0,256,20,0.8691,0.00839410507439596,0.0018769789556625296,0.4914063049298525,0.025439450679755664,0.005688434103018689
relu,mlp,replacement,0.81,0.0,256,20,0.858565,0.010421433442669962,0.002330303360079969,0.5188518119335175,0.034333682064273986,0.0076772447013581935
relu,mlp,replacement,0.8200000000000001,0.0,256,20,0.84317,0.008891855824292243,0.001988279406924488,0.554308904864788,0.024478097548646733,0.005473469007864506
relu,mlp,replacement,0.8300000000000001,0.0,256,20,0.83851,0.00906183756199591,0.0020262884789683817,0.5621348330497742,0.02120621906583581,0.004741854737696096
relu,mlp,replacement,0.8400000000000001,0.0,256,20,0.8277950000000001,0.009801248644943146,0.0021916258234470575,0.5864726745510102,0.030467512250500196,0.006812742849742604
relu,mlp,replacement,0.8500000000000001,0.0,256,20,0.8098650000000001,0.01199663598680897,0.0026825293567825127,0.6188587310743332,0.037236040830888835,0.008326231851082519
relu,mlp,replacement,0.86,0.0,256,20,0.806375,0.009843773412670566,0.0022011346505836473,0.6191607645869255,0.03195681574932728,0.007145761235993167
relu,mlp,replacement,0.87,0.0,256,20,0.792695,0.01711500730353335,0.0038270319766105943,0.648344002737999,0.04305480121603627,0.00962734622767977
relu,mlp,replacement,0.88,0.0,256,20,0.778565,0.016947751325765908,0.003789632403017475,0.6671556201839447,0.03729253407080516,0.00833886412355473
relu,mlp,replacement,0.89,0.0,256,20,0.761855,0.020988412874726848,0.004693151792772101,0.7035685550260544,0.04680532355070812,0.010465988516825517
relu,mlp,replacement,0.9,0.0,256,20,0.74142,0.024057485321620792,0.005379417254684748,0.7492866536569596,0.0540566378831003,0.012087431694170259
relu,mlp,replacement,0.91,0.0,256,20,0.6920999999999999,0.06325793230892074,0.014144903675882699,0.8667247898769379,0.1317837827752608,0.0294677496617549
relu,mlp,replacement,0.92,0.0,256,20,0.610215,0.08487584624025848,0.01897881618410379,1.0689018303537368,0.19820758186383336,0.044320562670338584
relu,mlp,replacement,0.93,0.0,256,20,0.51755,0.1182380755086956,0.026438837436619636,1.3225311616277695,0.3092676240280819,0.06915434305666383
relu,mlp,replacement,0.9400000000000001,0.0,256,20,0.24418,0.12101764995239331,0.02706036917708256,1.9590690338039398,0.3041861181644091,0.06801808380274023
relu,mlp,replacement,0.95,0.0,256,20,0.165905,0.07833984602359133,0.01751732210556168,2.1925771462345125,0.18020555647007555,0.040295187419026594
relu,mlp,replacement,0.96,0.0,256,20,0.11848500000000001,0.021729111233550258,0.0048587769808872685,2.289431085624695,0.04085323654783546,0.009135061402183892
