activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
sigmoid,mlp,replacement,1.0,0.0,128,20,0.10684500000000001,0.017910122138053666,0.0040048250586011865,2.2979597435188293,0.00200353082031549,0.0004480031109241352
sigmoid,mlp,replacement,0.0,0.0,256,20,0.977155,0.0013753090561761014,0.000307528453968084,0.07443143733928446,0.0034530657127055876,0.0007721289664383453
sigmoid,mlp,replacement,0.1,0.0,256,20,0.970415,0.00249043670869187,0.0005568785774295863,0.09713100948948414,0.008267690323599293,0.001848711758048525
sigmoid,mlp,replacement,0.2,0.0,256,20,0.954015,0.004157676634852695,0.0009296847583993196,0.15407973953451962,0.014880166022944214,0.0033273062743785957
sigmoid,mlp,replacement,0.4,0.0,256,20,0.919935,0.007345629653065848,0.0016425327241793432,0.2674428383615613,0.025245623532629297,0.005645093035332748
sigmoid,mlp,replacement,0.6,0.0,256,20,0.88593,0.007494471295561809,0.0016758147272297123,0.3795640821033716,0.02415458751892029,0.005401129966077375
sigmoid,mlp,replacement,0.8,0.0,256,20,0.828555,0.009040712084786247,0.002021564678658589,0.5296958083367348,0.018338966729878583,0.004100717624511553
sigmoid,mlp,replacement,1.0,0.0,256,20,0.1135,0.0,0.0,2.298708650779724,0.0010252765121327163,0.00022925879768626414
sigmoid,mlp,replacement,0.0,0.0,512,20,0.97876,0.0014472042012100442,0.0003236046971228942,0.07133991745831444,0.0041440396229922155,0.0009266354298463194
sigmoid,mlp,replacement,0.1,0.0,512,20,0.974235,0.001652051754637241,0.0003694100025716674,0.08524660474548117,0.00631241941945328,0.0014114998924387291
sigmoid,mlp,replacement,0.2,0.0,512,20,0.96393,0.0029349787052038384,0.0006562811897350098,0.12031623056645971,0.010400131638776221,0.002325540131924992
sigmoid,mlp,replacement,0.4,0.0,512,20,0.93261,0.005110469645737073,0.0011427357524817362,0.22674540374003352,0.018354200045374663,0.004104123897408747
sigmoid,mlp,replacement,0.6,0.0,512,20,0.889,0.009613636148721247,0.0021496743939489987,0.3776943400898576,0.03783034370486188,0.00845912201362524
sigmoid,mlp,replacement,0.8,0.0,512,20,0.80385,0.01133840817751768,0.0025353451441569035,0.61553462890625,0.0383741865471354,0.008580728970065269
sigmoid,mlp,replacement,1.0,0.0,512,20,0.1135,0.0,0.0,2.300740926322937,0.00019708226623968946,4.406893444716575e-05
tanh,mlp,replacement,0.0,0.0,128,20,0.97722,0.0014582866659199813,0.0003260828115678604,0.07919841305931331,0.004275987109020105,0.0009561397846681758
tanh,mlp,replacement,0.1,0.0,128,20,0.97511,0.0019222122671546953,0.0004298197296541885,0.07962655957572395,0.006639546253627724,0.0014846476762865651
