activation,model_type,corruption_mode,p,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
sigmoid,mlp,binary_replacement,0.15000000000000002,100,0.972857,0.0012784564912424578,0.00012784564912424578,0.0919658468125076,0.003553062520684936,0.00035530625206849363
sigmoid,mlp,binary_replacement,0.2,100,0.965223,0.0033689421188260304,0.00033689421188260306,0.11513191798873246,0.011053998555710041,0.0011053998555710042
sigmoid,mlp,binary_replacement,0.25,100,0.957279,0.004621326541156757,0.00046213265411567566,0.14103393908538298,0.01558523626485324,0.0015585236264853241
sigmoid,mlp,binary_replacement,0.30000000000000004,100,0.952134,0.005210647176695019,0.000521064717669502,0.1543940905512087,0.014949094280034214,0.0014949094280034213
sigmoid,mlp,binary_replacement,0.35000000000000003,100,0.938125,0.008351938397761327,0.0008351938397761327,0.19958950858754665,0.025982448731714496,0.0025982448731714496
sigmoid,mlp,binary_replacement,0.4,100,0.929168,0.005547411648688063,0.0005547411648688063,0.2284441128370166,0.018819749657433583,0.0018819749657433583
sigmoid,mlp,binary_replacement,0.45,100,0.920602,0.006085704232050707,0.0006085704232050707,0.2530191766475141,0.01650623785216325,0.001650623785216325
sigmoid,mlp,binary_replacement,0.5,100,0.903111,0.006029625112724671,0.0006029625112724671,0.3063784766524732,0.01703955558569255,0.0017039555585692551
sigmoid,mlp,binary_replacement,0.55,100,0.889767,0.007560714979418281,0.0007560714979418282,0.34900821709793806,0.022159490974207253,0.002215949097420725
sigmoid,mlp,binary_replacement,0.6000000000000001,100,0.869691,0.006620847302271815,0.0006620847302271815,0.40959797352695465,0.01829291599082799,0.0018292915990827988
sigmoid,mlp,binary_replacement,0.65,100,0.845805,0.019452873181101043,0.0019452873181101042,0.471831122633934,0.05404060080494221,0.005404060080494221
sigmoid,mlp,binary_replacement,0.7000000000000001,100,0.821964,0.00921137904984917,0.000921137904984917,0.5472689669940471,0.026153982457266998,0.0026153982457267
sigmoid,mlp,binary_replacement,0.75,100,0.8007810000000001,0.011377501439244021,0.0011377501439244022,0.6167634661374092,0.02923729754521284,0.002923729754521284
sigmoid,mlp,binary_replacement,0.8,100,0.764704,0.009508395448234166,0.0009508395448234166,0.7321709520549774,0.017617009422480946,0.0017617009422480946
sigmoid,mlp,binary_replacement,0.8500000000000001,100,0.750066,0.011780961081337988,0.0011780961081337988,0.8068170705356598,0.026202526745408326,0.0026202526745408325
sigmoid,mlp,binary_replacement,0.9,100,0.744049,0.01029926691565957,0.001029926691565957,0.9508790671434403,0.021448148949836317,0.0021448148949836316
sigmoid,mlp,binary_replacement,0.9500000000000001,100,0.712014,0.014259446132301231,0.001425944613230123,1.4275196204166412,0.041564084821081766,0.004156408482108177
sigmoid,mlp,binary_replacement,1.0,100,0.1135,0.0,0.0,2.3007862956314087,0.0001095023750902685,1.095023750902685e-05
tanh,mlp,binary_replacement,0.0,100,0.977252,0.0028106753636804142,0.0002810675363680414,0.10088371802000846,0.013259346893899734,0.0013259346893899735
tanh,mlp,binary_replacement,0.05,100,0.979048,0.0008577272293684163,8.577272293684162e-05,0.07709533067468212,0.002318541474138599,0.0002318541474138599
