activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
gelu,mlp,replacement,0.8,0.0,567889699,1.1144664217631022,3.7154998481750487,0.7931,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,153340868,1.102670311800639,5.931842698669434,0.7405,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,916783090,1.112835105450948,11.881874453735351,0.7463,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,114763896,1.1096018051783243,2.7862138631820677,0.8235,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,563254122,1.1096647795995076,6.258334016418457,0.7895,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,302626904,1.1143924926757813,4.19254838256836,0.7863,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,879892981,1.1109392621994019,1.2279424423217773,0.8539,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,663683569,1.1150969982147216,10.806807247924805,0.7467,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,837588547,1.0982929466883342,0.6737729504525661,0.8602,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,125013204,1.1130734938939413,4.275928340148925,0.7905,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,720139351,1.1225815709431965,6.371505597686768,0.7877,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,404249502,1.1292169443130493,7.3131182052612305,0.7993,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,515853554,1.1153317330678305,0.4485345712721348,0.8893,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,544911215,1.1136320659001668,4.5108848937034605,0.8267,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,227150750,1.1131395787239076,1.501528127169609,0.825,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,56984343,1.1168482449849446,4.731114151000977,0.8007,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,108300746,1.108365247631073,5.668749998474121,0.8039,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,226397496,1.1153462518692017,0.41519752318263053,0.8979,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,618830488,1.1129002146085103,2.788420373916626,0.8015,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,599582709,1.1185822344462077,8.159303671646118,0.798,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,913528964,1.1152641335169475,2.563249467086792,0.8243,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,804007317,1.1259552335739136,16.141727911376954,0.7092,1.0,"[128, 128]"
