activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
gelu,mlp,replacement,0.9,0.0,64,100,0.7092809999999999,0.0535763636224035,0.0053576363622403495,1.1418869745998383,0.5691347947981974,0.05691347947981974
gelu,mlp,replacement,0.9500000000000001,0.0,64,100,0.56658,0.12382461225459178,0.012382461225459178,1.8776756083612443,2.9403610333449577,0.29403610333449576
gelu,mlp,replacement,1.0,0.0,64,100,0.11297900000000001,0.00518388454732549,0.000518388454732549,2.300265955352783,0.0009583523473262851,9.583523473262851e-05
gelu,mlp,replacement,0.0,0.0,128,100,0.978055,0.0016420946988526589,0.00016420946988526588,0.10547541070495743,0.009922703767587157,0.0009922703767587158
gelu,mlp,replacement,0.05,0.0,128,100,0.98127,0.001326009049742873,0.0001326009049742873,0.0736309314958434,0.006635576705315587,0.0006635576705315587
gelu,mlp,replacement,0.1,0.0,128,100,0.981734,0.0013784208355941262,0.00013784208355941262,0.06755269585238233,0.005241646822933016,0.0005241646822933016
gelu,mlp,replacement,0.15000000000000002,0.0,128,100,0.981022,0.0013331601554201994,0.00013331601554201995,0.06727780439642686,0.0048996936581922725,0.0004899693658192273
gelu,mlp,replacement,0.2,0.0,128,100,0.980146,0.0015485748286731278,0.00015485748286731278,0.06935159703806182,0.005584154982917607,0.0005584154982917606
gelu,mlp,replacement,0.25,0.0,128,100,0.97901,0.001702674366988592,0.0001702674366988592,0.07360235439054554,0.006268925595852689,0.000626892559585269
gelu,mlp,replacement,0.30000000000000004,0.0,128,100,0.978131,0.0015322986001429367,0.00015322986001429367,0.07653550471970308,0.006019560154022568,0.0006019560154022568
gelu,mlp,replacement,0.35000000000000003,0.0,128,100,0.976641,0.0016584387236192942,0.00016584387236192943,0.08229334007366458,0.006467007932721894,0.0006467007932721894
gelu,mlp,replacement,0.4,0.0,128,100,0.975607,0.001612467364010815,0.0001612467364010815,0.08762997656165841,0.006027709785477126,0.0006027709785477126
gelu,mlp,replacement,0.45,0.0,128,100,0.973554,0.0022197486344178712,0.00022197486344178712,0.09780567141840553,0.008151646782977248,0.0008151646782977248
gelu,mlp,replacement,0.5,0.0,128,100,0.971248,0.002155294875417286,0.0002155294875417286,0.11011536162452719,0.007896934529069905,0.0007896934529069905
gelu,mlp,replacement,0.55,0.0,128,100,0.964283,0.012733169715353675,0.0012733169715353674,0.15281149344002232,0.09980297713984063,0.009980297713984062
gelu,mlp,replacement,0.6000000000000001,0.0,128,100,0.955817,0.01906522517569619,0.0019065225175696188,0.21942171462967555,0.2733621137882657,0.02733621137882657
gelu,mlp,replacement,0.65,0.0,128,100,0.935238,0.031905136827789976,0.0031905136827789977,0.43229883399085695,0.5680567850405814,0.05680567850405814
gelu,mlp,replacement,0.7000000000000001,0.0,128,100,0.90284,0.04420794046322448,0.004420794046322448,1.102070604969576,1.1471987765839307,0.11471987765839306
gelu,mlp,replacement,0.75,0.0,128,100,0.847034,0.045350299271338886,0.004535029927133888,2.9493617591490446,2.640225283442321,0.2640225283442321
gelu,mlp,replacement,0.8,0.0,128,100,0.789317,0.03744875713558462,0.003744875713558462,5.679394385732919,3.4924856325274742,0.34924856325274745
gelu,mlp,replacement,0.8500000000000001,0.0,128,100,0.738051,0.03548693701913423,0.003548693701913423,7.3407650594005585,3.7104221271248186,0.37104221271248183
gelu,mlp,replacement,0.9,0.0,128,100,0.705922,0.028218659004282963,0.0028218659004282964,2.026436351492882,1.0833330600818611,0.10833330600818611
gelu,mlp,replacement,0.9500000000000001,0.0,128,100,0.539436,0.15512298573712408,0.015512298573712408,3.435297074942589,7.489307125353508,0.7489307125353508
gelu,mlp,replacement,1.0,0.0,128,100,0.112723,0.007731052386318438,0.0007731052386318437,2.2998355339698793,0.0013441826108837184,0.00013441826108837184
gelu,mlp,replacement,0.0,0.0,256,100,0.980549,0.0017415220354620826,0.00017415220354620827,0.10134764472056108,0.010754668933345557,0.0010754668933345558
gelu,mlp,replacement,0.05,0.0,256,100,0.983045,0.0013915728511292556,0.00013915728511292556,0.07703535866804352,0.006200239518017974,0.0006200239518017974
gelu,mlp,replacement,0.1,0.0,256,100,0.983293,0.001326669137351135,0.00013266691373511349,0.07093836984842004,0.006327481454952727,0.0006327481454952727
gelu,mlp,replacement,0.15000000000000002,0.0,256,100,0.982883,0.0014872830934290935,0.00014872830934290935,0.0706263684595719,0.006875759198965849,0.000687575919896585
gelu,mlp,replacement,0.2,0.0,256,100,0.982031,0.0015687380278427592,0.00015687380278427593,0.07213329056631063,0.006718989740756987,0.0006718989740756987
gelu,mlp,replacement,0.25,0.0,256,100,0.981132,0.0015951100275529658,0.00015951100275529657,0.0747154367706219,0.007093000919319135,0.0007093000919319135
gelu,mlp,replacement,0.30000000000000004,0.0,256,100,0.979983,0.0015317346375922968,0.0001531734637592297,0.07761979359538772,0.006621893997141645,0.0006621893997141644
gelu,mlp,replacement,0.35000000000000003,0.0,256,100,0.979141,0.0016143168833906139,0.0001614316883390614,0.08099864132372642,0.006409171130842374,0.0006409171130842375
gelu,mlp,replacement,0.4,0.0,256,100,0.977732,0.0017571499651424232,0.00017571499651424232,0.08711666329590455,0.00749601124555512,0.000749601124555512
gelu,mlp,replacement,0.45,0.0,256,100,0.976451,0.0017052562857236481,0.00017052562857236482,0.09337972034228184,0.0073282385019319525,0.0007328238501931952
gelu,mlp,replacement,0.5,0.0,256,100,0.974512,0.0018265968356481923,0.00018265968356481922,0.10315832029972748,0.007820457013387083,0.0007820457013387082
gelu,mlp,replacement,0.55,0.0,256,100,0.972248,0.001671435311341724,0.00016714353113417242,0.1177143179905639,0.007805933854140653,0.0007805933854140654
gelu,mlp,replacement,0.6000000000000001,0.0,256,100,0.9666129999999999,0.008065428134947327,0.0008065428134947327,0.15140328977672693,0.0744086085305217,0.007440860853052169
